MPID	Title	Brand	UPC	MPN	MerchantCategory	ProductURL	imageURL	Availability	Price	Description
1729964	OnGuard Akita 185x12mm (5040) Key Lock	ONGuard		45005040	Locks	http://www.bicyclebuys.com/item/1729964/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1729964.jpg	In Stock	17.99	OnGuard Akita 185x12mm (5040) Key Lock
1729944-12	Onguard Doberman Combo 6 Foot (185cm x 12mm) (5031)	ONGuard	768661250317	45005031	Locks	http://www.bicyclebuys.com/item/1729944-12/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1729944.jpg	In Stock	19.99	Onguard Doberman Combo 6 Foot (185cm x 12mm) (5031)
0404377	Truvativ Noir Race Carbon Riser Bar 31.8x680mm	Truvativ	710845664502	00.6615.136.070	Handlebars	http://www.bicyclebuys.com/item/0404377/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0404377.jpg	In Stock	99.99	Truvativ Noir Race Carbon Riser Bar 31.8x680mm
1729964-25	OnGuard Akita 100x25mm (5035) 1"	ONGuard	768661250355	45005035	Locks	http://www.bicyclebuys.com/item/1729964-25/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1729964.jpg	In Stock	42.99	OnGuard Akita 100x25mm (5035) 1"
1729964-C	OnGuard Akita 185x12mm (5041) Combo Lock	ONGuard	768661250416	45005041	Locks	http://www.bicyclebuys.com/item/1729964-C/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1729964-C.jpg	In Stock	17.99	OnGuard Akita 185x12mm (5041) Combo Lock
0977803	Kettler Lil Foote Kettrest	Kettler	609970945412		Accessory	http://www.bicyclebuys.com/item/0977803/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0977803.jpg	In Stock	14.99	Kettler Lil Foote Kettrest
0710303PART	Fox Arm Warmers	Fox			Winter Clothing Accessories	http://www.bicyclebuys.com/item/0710303PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710303PART.jpg	In Stock	14.99	Fox Arm Warmers
11Y0508034-C	Reynolds Alta Race (Mid-V) Road Wheelset Campagnolo	Reynolds		83001	Road Wheels	http://www.bicyclebuys.com/item/11Y0508034-C/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0508034PART.jpg	In Stock	399.95	Reynolds Alta Race (Mid-V) Road Wheelset Campagnolo
0603166	Ritchey Speedmax Cross Comp Tire 700x35c	Ritchey Design	796941464154		Road Tires	http://www.bicyclebuys.com/item/0603166/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603166.jpg	In Stock	24.99	Ritchey Speedmax Cross Comp Tire 700x35c
1736272	Park TK-2 Tool Kaddie	Park		TK-2	Tools	http://www.bicyclebuys.com/item/1736272/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1736272.jpg	In Stock	44.95	Park TK-2 Tool Kaddie
1736364	Park MTB-7 Rescue Tool	Park	763477004710	MTB-7	Tools	http://www.bicyclebuys.com/item/1736364/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1736364.jpg	In Stock	17.95	Park MTB-7 Rescue Tool
1799954	Topeak Prepstand Elite (TW002)	Topeak	768661114671	tw002	Tools	http://www.bicyclebuys.com/item/1799954/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799954.jpg	In Stock	179.99	Topeak Prepstand Elite (TW002)
0119684	Topeak Tour Guide HB HandleBar Bag (TT3021B)	Topeak	768661119188	TT-3021B	Bags	http://www.bicyclebuys.com/item/0119684/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119684.jpg	In Stock	54.99	Topeak Tour Guide HB HandleBar Bag (TT3021B)
0119686	Topeak Tour Guide HandleBar Bag DX (TT3018B)	Topeak	768661115272	TT3018b	Bags	http://www.bicyclebuys.com/item/0119686/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119686.jpg	In Stock	69.99	Topeak Tour Guide HandleBar Bag DX (TT3018B)
1600005	Avenir Palm Pillow Grips	Avenir	791964130857	60-27-330	Handlebar Tape/Grips	http://www.bicyclebuys.com/item/1600005/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1600005.jpg	In Stock	8.99	Avenir Palm Pillow Grips
0139956	Bell Flip Mirror (For Bell Metro, Citi, Muni, Arella Helmets)	Bell	768686757297	109043	Helmets	http://www.bicyclebuys.com/item/0139956/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0139956.jpg	In Stock	12.99	Bell Flip Mirror (For Bell Metro, Citi, Muni, Arella Helmets)
0602119	Michelin Pro Megamium 2 700x23 tire Black	Michelin	3528700030044	003004	Road Tires	http://www.bicyclebuys.com/item/0602119/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0602119.jpg	In Stock	19.99	Michelin Pro Megamium 2 700x23 tire Black
0129912	Delta Michealangelo 2 Bike Rack	Delta Cycle Corporation	799403285403	RS6000	Storage Systems	http://www.bicyclebuys.com/item/0129912/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0129912.jpg	In Stock	79.99	Delta Michealangelo 2 Bike Rack
SIGE5ME5PART	Sidi Genius 5 Mega Cycling Shoe	SIDI			Shoes	http://www.bicyclebuys.com/item/SIGE5ME5PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/SIGE4.jpg	In Stock	169.99	Sidi Genius 5 Mega Cycling Shoe
1799955	Topeak Handlebar Stabilizer for Dual Touch Stand	Topeak		TW004-SP03	Storage Systems	http://www.bicyclebuys.com/item/1799955/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799955.jpg	In Stock	11.99	Topeak Handlebar Stabilizer for Dual Touch Stand
0119740	Topeak RX Beam Rack Carbon (TA2405CB)	Topeak	768661118761	TA2405CB	Bike Racks	http://www.bicyclebuys.com/item/0119740/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119740.jpg	In Stock	139.99	Topeak RX Beam Rack Carbon (TA2405CB)
0701180PART	Louis Garneau Signature Comfort Short	Louis Garneau		1032165	Shorts	http://www.bicyclebuys.com/item/0701180PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0701180PART.jpg	In Stock	49.99	Louis Garneau Signature Comfort Short
0700930PART	Louis Garneau Winter Ear Cover	Louis Garneau		1493292	Winter Clothing Accessories	http://www.bicyclebuys.com/item/0700930PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0700930PART.jpg	In Stock	14.99	Louis Garneau Winter Ear Cover
LGRO5PART	Louis Garneau Roady Cycling Shoes	Louis Garneau			Shoes	http://www.bicyclebuys.com/item/LGRO5PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/LGRO5PART.jpg	In Stock	59.99	Louis Garneau Roady Cycling Shoes
0701184PART	Louis Garneau Zip Leg Warmers	Louis Garneau		1083038	Winter Clothing Accessories	http://www.bicyclebuys.com/item/0701184PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0701184PART.jpg	In Stock	29.99	Louis Garneau Zip Leg Warmers
0790025PART	Louis Garneau Mini Cuff Socks	Louis Garneau		1085010	Socks	http://www.bicyclebuys.com/item/0790025PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0790025PART.jpg	In Stock	9.99	Louis Garneau Mini Cuff Socks
0750128PART	Louis Garneau Women's X-Gel Glove	Louis Garneau			Gloves	http://www.bicyclebuys.com/item/0750128PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750128PART.jpg	In Stock	24.99	Louis Garneau Women's X-Gel Glove
0750134PART	Louis Garneau AIR Spot Glove	Louis Garneau		1482046	Gloves	http://www.bicyclebuys.com/item/0750134PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750134PART.jpg	In Stock	19.99	Louis Garneau AIR Spot Glove
0770022PART	Biemme Illinois Wind Jersey	Biemme		139IN16270471	Jerseys	http://www.bicyclebuys.com/item/0770022PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0770022PART.jpg	In Stock	69.99	Biemme Illinois Wind Jersey
0770023PART	Biemme Detroit Microfleece  Jersey	Biemme		163ML16332772	Jerseys	http://www.bicyclebuys.com/item/0770023PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0770023PART.jpg	In Stock	59.99	Biemme Detroit Microfleece  Jersey
0121000	Cycleops Bike Thong	Cycleops	012527002887	9715	Indoor Trainers	http://www.bicyclebuys.com/item/0121000/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0121000.jpg	In Stock	22.49	Cycleops Bike Thong
0750135PART	Louis Garneau M-Vents Glove	Louis Garneau		1482047	Gloves	http://www.bicyclebuys.com/item/0750135PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750135PART.jpg	In Stock	34.99	Louis Garneau M-Vents Glove
KETA5PART	Kestrel Talon Frameset	Kestrel			Bicycles	http://www.bicyclebuys.com/item/KETA5PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/KETA5PART.jpg	In Stock	999.95	Kestrel Talon Frameset
1766668	Park HR-11 11mm Hex Wrench	Park		HR-11	Tools	http://www.bicyclebuys.com/item/1766668/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1766668.jpg	In Stock	6.95	Park HR-11 11mm Hex Wrench
1766669	Park HR-12 12mm Hex Wrench	Park		HR-12	Tools	http://www.bicyclebuys.com/item/1766669/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1766669.jpg	In Stock	6.95	Park HR-12 12mm Hex Wrench
1729965	OnGuard Rottweiler Cable Lock (5026) 100cmx20mm (3.333'x.75")	ONGuard	768661250263	45005026	Locks	http://www.bicyclebuys.com/item/1729965/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1729954PART.jpg	In Stock	29.99	OnGuard Rottweiler Cable Lock (5026) 100cmx20mm (3.333'x.75")
0119741	Topeak MTX Dual Side Frame (TC1009)	Topeak	768661114589	TC1009	Bike Racks	http://www.bicyclebuys.com/item/0119741/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119741.jpg	In Stock	24.99	Topeak MTX Dual Side Frame (TC1009)
1799956U	Topeak Dual Bike Stand Upper Hanger (TW004-SP01)	Topeak		TW004-SP02	Storage Systems	http://www.bicyclebuys.com/item/1799956U/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799956U.jpg	In Stock	39.99	Topeak Dual Bike Stand Upper Hanger (TW004-SP01)
1799956L	Topeak Dual Bike Stand Lower Hanger (TW004-SP02)	Topeak		TW004-SP02	Storage Systems	http://www.bicyclebuys.com/item/1799956L/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799956U.jpg	In Stock	39.99	Topeak Dual Bike Stand Lower Hanger (TW004-SP02)
1799957	Topeak Mini 18 Tool Plus (TT2518)	Topeak	768661117610	TT2518	Tools	http://www.bicyclebuys.com/item/1799957/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799957.jpg	In Stock	24.99	Topeak Mini 18 Tool Plus (TT2518)
1428875PART	Shimano Ultegra BR6600 10/speed Brake Caliper	Shimano			Brakes	http://www.bicyclebuys.com/item/1428875PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1428875PART.jpg	In Stock	39.99	Shimano Ultegra BR6600 10/speed Brake Caliper
1599931PART	Shimano Ultegra Bottom Bracket BB6600	Shimano			Bottom Brackets	http://www.bicyclebuys.com/item/1599931PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1599931PART.jpg	In Stock	27.99	Shimano Ultegra Bottom Bracket BB6600
0101129PART	CamelBak Magic 72oz	CamelBak			Hydration	http://www.bicyclebuys.com/item/0101129PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0101129PART.jpg	In Stock	59.99	CamelBak Magic 72oz
0402047	Crank Brothers Mallet 3 Clipless Pedals Gold	Crank Brothers	641300711199	mallet 3	Clipless Pedals	http://www.bicyclebuys.com/item/0402047/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0402047.jpg	In Stock	149.99	Crank Brothers Mallet 3 Clipless Pedals Gold
0790032PART	Pearl Izumi Women's Elite LTD Sock	Pearl Izumi	703051300616	9084	Socks	http://www.bicyclebuys.com/item/0790032PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0790032PART.jpg	In Stock	8.99	Pearl Izumi Women's Elite LTD Sock
0509328-Y	Spinergy  Xyclone Disc Wheelset (Black Rims Yellow Spokes)	Spinergy			Mountain Wheels	http://www.bicyclebuys.com/item/0509328-Y/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0509328.jpg	In Stock	649.95	Spinergy  Xyclone Disc Wheelset (Black Rims Yellow Spokes)
1736349	Park BBT-9 Bottom Bracket Tool	Park	763477000491	BBT-9	Tools	http://www.bicyclebuys.com/item/1736349/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1736349.jpg	In Stock	19.95	Park BBT-9 Bottom Bracket Tool
1799963	Topeak Mini 6 Tool (TT2506)	Topeak	768661116255	TT2506	Tools	http://www.bicyclebuys.com/item/1799963/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799963.jpg	In Stock	9.99	Topeak Mini 6 Tool (TT2506)
1799964	Topeak Mini 9 Tool (TT2409)	Topeak	768661116262	TT2409	Tools	http://www.bicyclebuys.com/item/1799964/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799964.jpg	In Stock	14.99	Topeak Mini 9 Tool (TT2409)
0100011N	Eleven81 Side Slide Bottle Cage Black	Avenir	879410004249	82-73-303	Hydration	http://www.bicyclebuys.com/item/0100011N/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0100011.jpg	In Stock	7.99	Eleven81 Side Slide Bottle Cage Black
0119747	Topeak Handy Phone Pack Micro (TC2236B)	Topeak	768661113575	TC2236B	Bags	http://www.bicyclebuys.com/item/0119747/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119747.jpg	In Stock	12.99	Topeak Handy Phone Pack Micro (TC2236B)
0119683	Topeak Compact Handlebar Bag & Fanny Pack (TT3016B)	Topeak	768661119171	tt3016b	Bags	http://www.bicyclebuys.com/item/0119683/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119683.jpg	In Stock	44.99	Topeak Compact Handlebar Bag & Fanny Pack (TT3016B)
0710029PART	Giordana Forma Red Bib Short	Giordana		GI-BIB-FRED	Bibs-Short	http://www.bicyclebuys.com/item/0710029PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710029PART.jpg	In Stock	169.95	Giordana Forma Red Bib Short
0710021PART	Giordana Sprint Short	Giordana			Shorts	http://www.bicyclebuys.com/item/0710021PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710021PART.jpg	In Stock	54.99	Giordana Sprint Short
0710038PART	Giordana Tempo 8-Panel Short	Giordana			Shorts	http://www.bicyclebuys.com/item/0710038PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710038PART.jpg	In Stock	29.99	Giordana Tempo 8-Panel Short
0750031PART	Fox Full Zip Fleece Jersey	Fox			Jackets	http://www.bicyclebuys.com/item/0750031PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750031PART.jpg	In Stock	34.99	Fox Full Zip Fleece Jersey
0700032PART	Giordana CSC Team Gloves	Giordana		GI-GLOC-CSCT	Gloves	http://www.bicyclebuys.com/item/0700032PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0700032PART.jpg	In Stock	19.99	Giordana CSC Team Gloves
0700038PART	Giordana Pinarello Gloves	Giordana		GI-GLOV-TRAD-PINA	Gloves	http://www.bicyclebuys.com/item/0700038PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0700038PART.jpg	In Stock	39.99	Giordana Pinarello Gloves
0130033	Allen 900B Tension Bar Bike Adapter	Allen Sports	765271900007	900B	Car Carriers	http://www.bicyclebuys.com/item/0130033/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0130033.jpg	In Stock	26.99	Allen 900B Tension Bar Bike Adapter
0119730-E-27	Topeak Quick Track RX Road Beam Rack (E-Type) (TA2100E)	Topeak	768661114022	TA2100E	Bike Racks	http://www.bicyclebuys.com/item/0119730-E-27/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119730-E.jpg	In Stock	29.99	Topeak Quick Track RX Road Beam Rack (E-Type) (TA2100E)
1599936	Sram PC-951 9/Speed Chain	Sram	710845019517	86.2706.114.105	Chains	http://www.bicyclebuys.com/item/1599936/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1599936.jpg	In Stock	19.99	Sram PC-951 9/Speed Chain
DITR5PART	Diadora Team Racer Road Shoe	Diadora			Shoes	http://www.bicyclebuys.com/item/DITR5PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/DITR5PART.jpg	In Stock	139.95	Diadora Team Racer Road Shoe
0100010PART	Avenir Slider Alloy Water Bottle Cage	Avenir			Hydration	http://www.bicyclebuys.com/item/0100010PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0100010PART.jpg	In Stock	4.99	Avenir Slider Alloy Water Bottle Cage
BHCA5PART	BikeHard Carbolite Road Bike Frame w/Reynolds Ouzo Comp Fork	BikeHard		BHCA5	Bicycles	http://www.bicyclebuys.com/item/BHCA5PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/BHCA5PART.jpg	In Stock	399.95	BikeHard Carbolite Road Bike Frame w/Reynolds Ouzo Comp Fork
PIVIMTNPART	Pearl Izumi Viper Mountain Shoe	Pearl Izumi			Shoes	http://www.bicyclebuys.com/item/PIVIMTNPART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/PIVIMTNPART.jpg	In Stock	119.95	Pearl Izumi Viper Mountain Shoe
PIVIRDPART	Pearl Izumi Viper Road Shoe	Pearl Izumi			Shoes	http://www.bicyclebuys.com/item/PIVIRDPART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/PIVIRDPART.jpg	In Stock	119.95	Pearl Izumi Viper Road Shoe
1799959	Topeak Flash Stand (TW006)	Topeak	768661116361	TW006	Storage Systems	http://www.bicyclebuys.com/item/1799959/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799959.jpg	In Stock	29.99	Topeak Flash Stand (TW006)
PIFLRDPART	Pearl Izumi Flow Road Shoe	Pearl Izumi			Shoes	http://www.bicyclebuys.com/item/PIFLRDPART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/PIFLRDPART.jpg	In Stock	89.99	Pearl Izumi Flow Road Shoe
PIFLMTNPART	Pearl Izumi Flow Mountain Shoe	Pearl Izumi			Shoes	http://www.bicyclebuys.com/item/PIFLMTNPART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/PIFLMTNPART.jpg	In Stock	99.99	Pearl Izumi Flow Mountain Shoe
06YPIVA2MTN48N5	Pearl Izumi Vagabond 2 MTB Shoe Size 48 Black/Silver	Pearl Izumi			Shoes	http://www.bicyclebuys.com/item/06YPIVA2MTN48N5/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/PIVA4PART.jpg	In Stock	59.99	Pearl Izumi Vagabond 2 MTB Shoe Size 48 Black/Silver
0740414PART	Pearl Izumi Women's Attack Short	Pearl Izumi			Shorts	http://www.bicyclebuys.com/item/0740414PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0740414PART.jpg	In Stock	54.99	Pearl Izumi Women's Attack Short
0740418PART	Pearl Izumi Women's Quest Short	Pearl Izumi		11211207	Shorts	http://www.bicyclebuys.com/item/0740418PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0740418PART.jpg	In Stock	49.99	Pearl Izumi Women's Quest Short
0740430PART	Pearl Izumi Podium Cycling Jersey	Pearl Izumi			Jerseys	http://www.bicyclebuys.com/item/0740430PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0740430PART.jpg	In Stock	39.99	Pearl Izumi Podium Cycling Jersey
SHTR02PART	Shimano SHTR02 Triathalon Shoe	Shimano			Shoes	http://www.bicyclebuys.com/item/SHTR02PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/SHTR02PART.jpg	In Stock	109.99	Shimano SHTR02 Triathalon Shoe
0900270	Fizik Aliante Gamma Kium Saddle Black	Fizik	8021890348364	F1700208	Seats	http://www.bicyclebuys.com/item/0900270/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0900270.jpg	In Stock	150	Fizik Aliante Gamma Kium Saddle Black
1602604PART	FSA Vision Tech Carbon Pro Clip On Bar	FSA			Handlebars	http://www.bicyclebuys.com/item/1602604PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1602604PART.jpg	In Stock	249.99	FSA Vision Tech Carbon Pro Clip On Bar
1602606PART	FSA Base Bar Handlebar	FSA			Handlebars	http://www.bicyclebuys.com/item/1602606PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1602606PART.jpg	In Stock	84.99	FSA Base Bar Handlebar
1429802	FSA Vision Aero Brake Lever	FSA			Brakes	http://www.bicyclebuys.com/item/1429802/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1429802.jpg	In Stock	79.99	FSA Vision Aero Brake Lever
1630443PART	Profile Design Dromo Pro Carbon Handlebar	Profile Design			Handlebars	http://www.bicyclebuys.com/item/1630443PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1630443PART.jpg	In Stock	179.95	Profile Design Dromo Pro Carbon Handlebar
0951510	Profile Design Tri Stryke Ti Saddle (Red/White/Black)	Profile Design	723660990879	SDSTST1	Seats	http://www.bicyclebuys.com/item/0951510/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0951510.jpg	In Stock	79.99	Profile Design Tri Stryke Ti Saddle (Red/White/Black)
1428894	Shimano XTR Disc Brake Pad Resin (M07S)	Shimano			Brakes-Disc	http://www.bicyclebuys.com/item/1428894/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1428894.jpg	In Stock	21.99	Shimano XTR Disc Brake Pad Resin (M07S)
NWAC5PART	Northwave Action MTB Cycling Shoe	Northwave			Shoes	http://www.bicyclebuys.com/item/NWAC5PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/NWAC5PART.jpg	In Stock	89.99	Northwave Action MTB Cycling Shoe
NWAE35PART	Northwave Aerator 3 Road Shoe	Northwave			Shoes	http://www.bicyclebuys.com/item/NWAE35PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/NWAE35PART.jpg	In Stock	169.99	Northwave Aerator 3 Road Shoe
