categoryID	manufacturer	Title	Description	Product URL	Image URL	SKU	availability	Condition	Ship Weight	Ship Cost	Bid	Promotional Code	UPC	Price
100001449	BikeHard	BikeHard Aero StashR Bag	The BikeHard Aero StashR is ideal for carrying your iPod, phone and/or energy bars.	http://www.bicyclebuys.com/item/0114569/SZLA	http://www.bicyclebuys.com/productimages/0114569.jpg	0114569	In Stock	NEW				  		14.99
100001449	BikeHard	BikeHard Aero StashR XL Bag	New Product Version. Got a big stash and need easy access?  Grab yourself the Aero StashR XL. Bigger than its younger brother the Aero Stashr by 2.5 inches in length and .5 inches in height, its storage capacity is ideal for longer road rides (and convien	http://www.bicyclebuys.com/item/0114578/SZLA	http://www.bicyclebuys.com/productimages/0114578.jpg	0114578	In Stock	NEW				  		19.99
100001449	CatEye	Cateye Micro Wireless MC100W Cycle Computer	The Micro is CatEye`s newest wireless computer. It has 10 functions and 12 features, including LED backlight, manual odometer re-set, and a bracket that will mount on both stem and handlebar. Available in silver, this is the wireless computer for any styl	http://www.bicyclebuys.com/item/0104634/SZLA	http://www.bicyclebuys.com/productimages/0104634.jpg	0104634	In Stock	NEW				  		44.99
100001449	CatEye	Cateye Strada RD300 Wireless Cycle Computer	The Cateye Strada is an easily mounted Wireless Cyle computer that will work on any bike.  Wireless technology eliminates wiring that can be problematic.	http://www.bicyclebuys.com/item/0104639PART/SZLA	http://www.bicyclebuys.com/productimages/0104639PART.jpg	0104639PART	In Stock	NEW				  		44.99
100001449	Kryptonite	Kryptonite New York Disc Lock Liberty w/ Bag	Kryptonite New York Disc Lock is the ultimate motorcycle & scooter lock for high theft areas.	http://www.bicyclebuys.com/item/1729904L/SZLA	http://www.bicyclebuys.com/productimages/1729904L.jpg	1729904L	In Stock	NEW				  		59.99
100001449	BikeHard	BikeHard Clipless Spinning/MTB Pedal Cleat	BikeHard Clipless Pedal Cleat.  Great for MTB and Spinning shoes.  This cleat is used in almost all spin classes and on almost all SPD compatible pedal systems. Incredibly durable hardened steal will last for many thousands of engagements/disengagements.	http://www.bicyclebuys.com/item/0402098/SZLA	http://www.bicyclebuys.com/productimages/0402098.jpg	0402098	In Stock	NEW				  		13.99
100001449	CamelBak	CamelBak Podium Chill Jacket Water Bottle 21oz	Step up to the Podium, and chill. CamelBak intorduces the first ever insulated bottle you can actually squeeze with an always-open, always-shut jet valve.	http://www.bicyclebuys.com/item/0101205PART/SZLA	http://www.bicyclebuys.com/productimages/0101205PART.jpg	0101205PART	In Stock	NEW				  		9.99
100001449	Kryptonite	Kryptonite New York Fahgettaboutit U-Lock	Kryptonite New York Fahgettaboudit U-Lock. With the highest security rating this lock provides the ultimate protection. Lock it and Fahgettaboudit!	http://www.bicyclebuys.com/item/1729907/SZLA	http://www.bicyclebuys.com/productimages/1729907.jpg	1729907	In Stock	NEW				  		79.99
100001449	Louis Garneau	Louis Garneau Multi Cycling Shoe Womens	The sylish, comfortable Louis Garneau Women's Multi Cycling Shoe is one of the world's most popular women's cycling shoes.  Great for roadies, spinners, and mountain bikers.	http://www.bicyclebuys.com/item/LGMUWPART/SZLA	http://www.bicyclebuys.com/productimages/LGMUWPART.jpg	LGMUWPART	In Stock	NEW				  		69.99
100001449	Kryptonite	Kryptonite Kryptoflex Cable 7ft. Length (710)	Kryptonite Kryptoflex (1007 Looped Cable) 7ft Cable. Perfect for accessory security when combined with an additional Kryptonite lock	http://www.bicyclebuys.com/item/1729871/SZLA	http://www.bicyclebuys.com/productimages/1729871.jpg	1729871	In Stock	NEW				  		9.99
